label_id,council_districts,method,matched
50706a0ab357,32,park,Rockaway Beach
c0a957e84a4f,31,park,Rockaway Community Park
aa887173f69a,31,park,Bayswater Park
7840c38e2036,32,park,Rockaway Beach
8e062ecc83f9,32,park,Rockaway Beach
eee3c847e311,32,park,Rockaway Beach
611cb3f9c351,31|32,park,Rockaway Freeway
064bfb8b8fff,49,park,Lyons Pool
16c014c5a33d,50,park,Naples Playground
b24226f0160e,50,park,Naples Playground
8bb2a9a42e04,50,park,Willowbrook Park
dd3d0fa2774a,50,park,Willowbrook Park
3ddac01d4dc7,51,park,Lemon Creek Park
2b37ae4897f6,51,park,Seaside Wildlife Nature Park
79a8aab20cfb,1,park,Battery Park City
835bf76adfd1,1,park,City Hall Park
f172d6ffa109,1,park,Battery Park City
2e5afdecdc0e,1,park,Battery Park City
01c56724c964,1,park,Battery Park City
4dd8b03a8251,1,park,Battery Park City
639c0178e3c0,1,park,Battery Park City
fb002bdf6566,1,park,Mercer Playground
89e67cbe4cc0,1,park,Vesuvio Playground
efb28aaf99b2,3,park,Tony Dapolito Recreation Center
6b545456a4fd,2,park,Minetta Playground
e0d0aad5548d,2,park,Washington Square Park
abaf2b18685f,3,park,Jefferson Market Garden
83e4ca92fe2d,2,park,Washington Square Park
4c119f644f3e,1,park,Playground of the Americas
387214dd3b03,2,park,Minetta Triangle
64947c7859ec,1,park,Seward Park
0a58c8e7f78a,3,park,Chelsea Park
a010bea4f071,3,park,Hell's Kitchen Park
8121f96fdff5,3,park,Chelsea Park
e3a00cc5e7f8,3,park,Bella Abzug Park
f5a863451ee0,3,park,Madison Square Park
24102486ac95,4,park,Bryant Park
12b89e0f21e9,4,park,Herald Square
4231598cbd65,6,park,Central Park
310d7f624c92,6,park,Central Park
e0d9a514e608,4,park,Bryant Park
dd70b2eea083,4,park,Peter Detmold Park
e9dd8f2af2b6,4,park,St. Vartan Park
42e80357d626,2,park,Bellevue South Park
07edf04bfdea,2,park,Bellevue South Park
a5ea2c5882d3,6|7,park,Riverside Park
edbc58378b04,6|7,park,Riverside Park
edd2d0531c27,7,park,Alexander Hamilton Playground
86169cc36192,9,park,St. Nicholas Park
3ad4b6963a4f,7,park,Morningside Park
abc3de40eee6,7,park,Riverside Park
ee1fe41c0e94,7,park,Riverside Park
8a7ac0abb111,7,park,Riverside Park
a8ab934a88e1,7,park,Riverside Park
87eaedaa0a79,7,park,Morningside Park
e5bae8563f36,8,park,Thomas Jefferson Park
e64316338dae,9,park,Marcus Garvey Park
381b574a0ca4,9,park,Marcus Garvey Park
31a6e2980ba9,10,park,Isham Park
f2c3bda7c22d,10,park,Inwood Hill Park
ab347f889ba9,15,park,Crotona Park
e89efbbb641a,15,park,Crotona Park
61a2658290c5,16,park,Drew Playground
7b2f603c28ec,15,park,Crotona Park
14681e97416d,17,park,Charlton-Thompson Garden
66094fa1d20f,15,park,Crotona Park
d42d1b61b195,15,park,Crotona Park
c375bc9b5744,15,park,Crotona Park
78f1fd20ee8f,15,park,Crotona Park
23ae9df901bd,11,park,Williamsbridge Oval
70f430cbc78d,11,park,Williamsbridge Oval
1b10e5c0b06d,11,park,Williamsbridge Oval
b6e6d907be59,11,park,Mosholu Parkway
ed4bc50e7f58,14,park,Devoe Park
f4340901511f,11,park,Mosholu Parkway
5c9501e8d521,11,park,Mosholu Parkway
6c66d75e1ff9,11,park,Mosholu Parkway
18877fe1fed2,11,park,Van Cortlandt Park
fb0eeecbdda9,11,park,Van Cortlandt Park
7fe2c29c09bf,11,park,Jerome Park
ddf4cbf5248f,13,park,Ferry Point Park
dddbf235f47a,13|15,park,Pelham Parkway
8b74c4aefaa3,13|15,park,Pelham Parkway
33b86473cbf2,12,park,Eastchester Playground
1a712406ee6d,13,park,Mazzei Playground
a8cfff44f2b5,15,park,Bronx Park
c18731714aa1,13|15,park,Pelham Parkway
a3ac03182dbd,12|13|15,park,Bronx River Parkway
8a0f1eee81b8,13|15,park,Pelham Parkway
9407fbf2dce2,33,park,Bushwick Inlet Park
5b68e61ef300,33,park,McCarren Park
029c528820e8,33,park,Mt. Carmel Triangle
b093cb86b803,33,park,McCarren Park
f94c09c1775a,36,park,Kosciuszko Pool
107d3e25accf,36,park,Charlie's Place
febdf019840d,37,park,Irving Square Park
e11838425bb1,42,park,Grace Playground
f1637a018f28,42,park,Pink Playground
09f7e73d93ce,42,park,Success Garden
12af2a709ab6,39,park,Grand Army Plaza
78a2d54bce14,39,park,Grand Army Plaza
b1f80bb3ff61,39,park,Prospect Park
4bed616534fa,39,park,Prospect Park
c30742990959,36,park,Brower Park
8eab7e5389b7,38,park,McKinley Park
b7fddd28857c,38,park,Leif Ericson Park
55e92b0f0b7a,38,park,Leif Ericson Park
cdb48dcf39e3,47,park,Bensonhurst Park
6915e6c381b9,47,park,Bensonhurst Park
5020d5513dd6,43,park,Rappaport Playground
f0a555207d7d,47,park,Kaiser Park
71565d8e1be6,47|48,park,Asser Levy Park
723ee9a85f1d,40,park,Umma Park
4d9f4df68d5e,41,park,South Pacific Playground
b8523d93f5ee,41,park,Van Dyke Playground
0764c8506972,46,park,Marine Park
04af9df93bfe,22,park,Astoria Park
2e516a3c6d6a,22,park,Whitey Ford Field
de2fafb7a538,22,park,Astoria Park
1622c510fdc0,22,park,Astoria Park
57a9d796ab4b,22,park,Steinway Playground
41c104917e4b,22,park,Astoria Park
8cb9fde13b44,22,park,Sean's Place
f4a43f05fccc,22,park,Astoria Park
8084c187dea1,21,park,Veterans Plaza
74c4a5c3e817,25,park,Northern Playground
c69b9c1527bd,30,park,Hoffman Park
2732b12401fb,21,park,Park Of The Americas
9eee3dab1545,21,park,Triangle 90
b526b308fb06,25,park,Middleburgh Triangle
7889afc87fbb,21,park,Corona Plaza
0a3a7855d2f4,21,park,Corona Plaza
4c9efa5f344a,25,park,Nine Heroes Plaza
b0f4d0bf58b3,21,park,Corona Plaza
3ea29db2eca0,21,park,William F Moore Park
71bbb1acfcd6,25,park,Newtown Playground
dce0cb47f8cc,21,park,William F Moore Park
41008900edf6,21,park,Corona Plaza
86ed6e5c1c05,30,park,Rosemary's Playground
29c9ae05d839,29|32,park,Forest Park
6d9b794f263c,20,park,Kissena Corridor Park
39e5f33dbe18,19,park,Frank Golden Park
411258d0a46f,20|21,park,Flushing Meadows Corona Park
efdaf9746111,19,park,Harvey Park
0b43f115a75e,24,park,Captain Tilly Park
3ac97663d6ed,20|24,park,Flushing Meadows Corona Park
86ace59f6b31,29|32,park,Forest Park
0c9df07bf74a,29|32,park,Forest Park
8cfe070caf1e,19|23,park,Cross Island Parkway
39adbacb842f,31,park,Idlewild Park
930aa3fc73d2,31,park,Springfield Park
a4bb7d2ae575,32,park,Rockaway Beach
3a80d5791e91,49,park,Lyons Pool
f8678c0f4889,1,park,City Hall Park
0cec06084da7,1,park,City Hall Park
175bbe50f8a4,1,park,Battery Park City
1d08e4cfd467,1,park,Battery Park City
2af8826c5077,1,park,Battery Park City
824ab32d529f,1,park,Battery Park City
7983989581e1,1,park,Vesuvio Playground
b0fd4a52574d,3,park,Tony Dapolito Recreation Center
53c8d082bb04,2,park,Minetta Playground
c0163027f3f5,1,park,Mercer Playground
c276481848ab,1,park,Playground of the Americas
a3e1059fb72d,2,park,Minetta Triangle
1c7594764f07,3,park,Chelsea Park
a6dc7434c451,6,park,Central Park
150cf84cc7c0,6,park,Central Park
3e8359857260,4,park,Herald Square
2c8f09aa0dc8,2,park,Bellevue South Park
f98f6c3adc66,2,park,Bellevue South Park
2fae76e011c4,2,park,Bellevue South Park
1ee4af54acce,6,park,Riverside Park South
682618657155,7,park,Frederick Douglass Playground
ecaa155c6011,6,park,Riverside Park South
c2921c6aec2a,6|7,park,Riverside Park
b03eeaca409e,6|7,park,Riverside Park
